order_id,actual_delivery_date,delay_reason,driver_id,driver_name,hub_name,is_delayed,is_on_time,order_date,order_status,vehicle_code,vehicle_type,csat,delivery_hrs,hub_processing_hrs,order_year,order_month,order_month_name,order_quarter,order_dayofweek,is_weekend
1,2024-10-25,,43,Karen Rodriguez,San Antonio Hub,False,True,2024-10-25,Delivered,FT-036,Truck,4,6.81,0.89,2024,10,Oct,4,Friday,False
2,2024-06-16,,29,Matthew Williams,Houston Hub,False,True,2024-06-16,Delivered,FT-016,Van,4,5.74,3.6,2024,6,Jun,2,Sunday,True
3,2024-07-05,,25,Nancy Harris,Austin Hub,False,True,2024-07-05,Delivered,FT-040,Van,4,12.91,2.07,2024,7,Jul,3,Friday,False
4,2023-08-22,,20,David Davis,Fort Worth Hub,False,True,2023-08-22,Delivered,FT-039,Van,5,9.4,2.37,2023,8,Aug,3,Tuesday,False
5,2024-06-06,Severe Weather,49,Joseph Williams,Dallas Main Hub,True,False,2024-06-02,Delivered,FT-018,Truck,3,103.48,1.8,2024,6,Jun,2,Sunday,True
6,2023-10-01,Customer Not Home,10,Daniel Williams,Houston Hub,True,False,2023-09-26,Delivered,FT-019,Van,3,125.92,1.01,2023,9,Sep,3,Tuesday,False
7,2024-12-14,Incorrect Address,20,David Davis,Fort Worth Hub,True,False,2024-12-14,Delivered,FT-030,Van,3,8.55,1.62,2024,12,Dec,4,Saturday,True
8,2024-11-18,,5,Lisa Taylor,San Antonio Hub,False,True,2024-11-17,Delivered,FT-036,Truck,4,30.04,2.28,2024,11,Nov,4,Sunday,True
9,2024-05-24,,50,Nancy Thomas,Dallas Main Hub,False,True,2024-05-23,Delivered,FT-010,Van,4,41.29,2.16,2024,5,May,2,Thursday,False
10,2024-11-14,,16,Anthony Martinez,Houston Hub,False,True,2024-11-14,Delivered,FT-032,Van,4,6.06,0.67,2024,11,Nov,4,Thursday,False
11,2023-11-26,,38,Elizabeth Harris,El Paso Hub,False,True,2023-11-26,Delivered,FT-037,Van,4,14.54,3.24,2023,11,Nov,4,Sunday,True
12,2023-01-20,,45,Daniel Brown,Houston Hub,False,True,2023-01-20,Delivered,FT-016,Van,5,16.22,0.81,2023,1,Jan,1,Friday,False
13,2024-03-14,,52,Daniel Garcia,Austin Hub,False,True,2024-03-13,Delivered,FT-040,Van,4,41.38,2.38,2024,3,Mar,1,Wednesday,False
14,2024-04-05,,26,Kevin Thompson,Dallas Main Hub,False,True,2024-04-05,Delivered,FT-015,Van,4,15.35,2.72,2024,4,Apr,2,Friday,False
15,2023-08-16,,53,Thomas Martin,Houston Hub,False,True,2023-08-16,Delivered,FT-001,Van,4,22.82,1.73,2023,8,Aug,3,Wednesday,False
16,2024-03-13,,17,Donald Martin,Fort Worth Hub,False,True,2024-03-12,Delivered,FT-039,Van,4,44.63,1.09,2024,3,Mar,1,Tuesday,False
17,2023-02-18,,15,Patricia Hernandez,El Paso Hub,False,True,2023-02-17,Delivered,FT-041,Truck,5,36.98,3.49,2023,2,Feb,1,Friday,False
18,2023-08-21,,38,Elizabeth Harris,El Paso Hub,False,True,2023-08-20,Delivered,FT-041,Truck,5,42.81,2.2,2023,8,Aug,3,Sunday,True
19,2023-11-02,,51,Kevin Brown,Dallas Main Hub,False,True,2023-11-01,Delivered,FT-013,Van,5,27.34,1.9,2023,11,Nov,4,Wednesday,False
20,2024-01-27,,28,Jennifer Rodriguez,Houston Hub,False,True,2024-01-26,Delivered,FT-019,Van,5,26.3,2.5,2024,1,Jan,1,Friday,False
21,2023-04-01,,21,Patricia Martinez,Austin Hub,False,True,2023-03-30,Delivered,FT-023,Van,4,61.34,0.63,2023,3,Mar,1,Thursday,False
22,2024-01-19,,19,Robert Garcia,Dallas Main Hub,False,True,2024-01-18,Delivered,FT-044,Truck,4,25.35,1.81,2024,1,Jan,1,Thursday,False
23,2023-07-02,,21,Patricia Martinez,Austin Hub,False,True,2023-07-01,Delivered,FT-034,Van,4,43.63,0.94,2023,7,Jul,3,Saturday,True
24,2023-04-29,,46,Kevin White,Austin Hub,False,True,2023-04-28,Delivered,FT-020,Truck,4,42.6,2.33,2023,4,Apr,2,Friday,False
25,2023-07-03,Road Construction,50,Nancy Thomas,Dallas Main Hub,True,False,2023-07-02,Delivered,FT-010,Van,2,37.91,0.85,2023,7,Jul,3,Sunday,True
26,2023-01-25,Package Sorting Error,37,Jessica Jones,Houston Hub,True,False,2023-01-25,Delivered,FT-016,Van,4,13.0,2.76,2023,1,Jan,1,Wednesday,False
27,2023-07-31,Vehicle Breakdown,38,Elizabeth Harris,El Paso Hub,True,False,2023-07-30,Delivered,FT-006,Van,4,27.02,2.3,2023,7,Jul,3,Sunday,True
28,2024-02-11,,1,Kevin Jones,Dallas Main Hub,False,True,2024-02-11,Delivered,FT-012,Van,5,20.52,1.89,2024,2,Feb,1,Sunday,True
29,2023-01-31,,55,Matthew Rodriguez,Austin Hub,False,True,2023-01-30,Delivered,FT-020,Truck,5,38.22,1.57,2023,1,Jan,1,Monday,False
